OCORRENCIA_ANO,OCORRENCIA_MES,ATENDIMENTO_BAIRRO_NOME,OCORRENCIAS,OCORRENCIAS_LAG1,OCORRENCIAS_LAG2,OCORRENCIAS_LAG3,OCORRENCIAS_LAG4
2009,2,BATEL,10,4.0,0.0,0.0,0.0
2009,2,BIGORRILHO,10,13.0,0.0,0.0,0.0
2009,2,BOA VISTA,40,44.0,0.0,0.0,0.0
2009,2,BOM RETIRO,4,7.0,0.0,0.0,0.0
2009,2,BOQUEIRAO,88,93.0,0.0,0.0,0.0
2009,2,BUTIATUVINHA,8,5.0,0.0,0.0,0.0
2009,2,CABRAL,29,33.0,0.0,0.0,0.0
2009,2,CACHOEIRA,10,6.0,0.0,0.0,0.0
2009,2,CAJURU,105,109.0,0.0,0.0,0.0
2009,2,CAMPINA DO SIQUEIRA,13,17.0,0.0,0.0,0.0
2009,2,CAMPO COMPRIDO,30,40.0,0.0,0.0,0.0
2009,2,CAMPO DE SANTANA,14,13.0,0.0,0.0,0.0
2009,2,CAPAO DA IMBUIA,28,43.0,0.0,0.0,0.0
2009,2,CAPAO RASO,32,45.0,0.0,0.0,0.0
2009,2,CASCATINHA,1,3.0,0.0,0.0,0.0
2009,2,CAXIMBA,1,2.0,0.0,0.0,0.0
2009,2,CENTRO,232,259.0,0.0,0.0,0.0
2009,2,CENTRO CIVICO,26,26.0,0.0,0.0,0.0
2009,2,CIDADE INDUSTRIAL DE CURITIBA,138,213.0,0.0,0.0,0.0
2009,2,CRISTO REI,5,4.0,0.0,0.0,0.0
2009,2,FANNY,6,4.0,0.0,0.0,0.0
2009,2,FAZENDINHA,44,58.0,0.0,0.0,0.0
2009,2,GANCHINHO,14,3.0,0.0,0.0,0.0
2009,2,GUABIROTUBA,7,5.0,0.0,0.0,0.0
2009,2,GUAIRA,15,29.0,0.0,0.0,0.0
2009,2,HAUER,24,27.0,0.0,0.0,0.0
2009,2,HUGO LANGE,5,0.0,0.0,0.0,0.0
2009,2,JARDIM BOTANICO,31,20.0,0.0,0.0,0.0
2009,2,JARDIM DAS AMERICAS,5,11.0,0.0,0.0,0.0
2009,2,JARDIM SOCIAL,2,4.0,0.0,0.0,0.0
2009,2,JUVEVE,2,2.0,0.0,0.0,0.0
2009,2,LINDOIA,6,8.0,0.0,0.0,0.0
2009,2,MERCES,16,9.0,0.0,0.0,0.0
2009,2,MOSSUNGUE,9,8.0,0.0,0.0,0.0
2009,2,NOVO MUNDO,46,71.0,0.0,0.0,0.0
2009,2,ORLEANS,14,7.0,0.0,0.0,0.0
2009,2,PAROLIN,9,4.0,0.0,0.0,0.0
2009,2,PILARZINHO,26,31.0,0.0,0.0,0.0
2009,2,PINHEIRINHO,48,61.0,0.0,0.0,0.0
2009,2,PORTAO,48,48.0,0.0,0.0,0.0
2009,2,PRADO VELHO,13,15.0,0.0,0.0,0.0
2009,2,REBOUCAS,24,26.0,0.0,0.0,0.0
2009,2,RIVIERA,1,0.0,0.0,0.0,0.0
2009,2,SANTA CANDIDA,42,51.0,0.0,0.0,0.0
2009,2,SANTA FELICIDADE,60,66.0,0.0,0.0,0.0
2009,2,SANTA QUITERIA,7,14.0,0.0,0.0,0.0
2009,2,SANTO INACIO,30,32.0,0.0,0.0,0.0
2009,2,SAO BRAZ,9,18.0,0.0,0.0,0.0
2009,2,SAO FRANCISCO,27,24.0,0.0,0.0,0.0
2009,2,SAO JOAO,4,3.0,0.0,0.0,0.0
2009,2,SAO LOURENCO,9,4.0,0.0,0.0,0.0
2009,2,SAO MIGUEL,3,1.0,0.0,0.0,0.0
2009,2,SEMINARIO,6,2.0,0.0,0.0,0.0
2009,2,SITIO CERCADO,158,170.0,0.0,0.0,0.0
2009,2,TABOAO,8,10.0,0.0,0.0,0.0
