mes,ano,descBairro,qtde_boletins,lag1,lag2,lag3,lag4
1,2017,CAMPINA DO SIQUEIRA,35,38.0,53.0,31.0,59.0
1,2017,CAMPO COMPRIDO,102,100.0,121.0,104.0,99.0
1,2017,CAMPO DE SANTANA,86,88.0,109.0,70.0,77.0
1,2017,CAPAO DA IMBUIA,77,75.0,75.0,71.0,84.0
1,2017,CAPAO RASO,165,156.0,159.0,139.0,177.0
1,2017,CASCATINHA,5,9.0,7.0,2.0,4.0
1,2017,CAXIMBA,8,11.0,5.0,14.0,6.0
1,2017,CENTRO,1318,1190.0,1272.0,1132.0,1278.0
1,2017,CENTRO CIVICO,72,63.0,67.0,64.0,64.0
1,2017,CIDADE INDUSTRIAL DE CURITIBA,608,695.0,660.0,520.0,619.0
1,2017,CRISTO REI,76,67.0,93.0,79.0,89.0
1,2017,FANNY,69,38.0,47.0,44.0,64.0
1,2017,FAZENDINHA,88,128.0,133.0,89.0,132.0
1,2017,GANCHINHO,41,28.0,29.0,22.0,32.0
1,2017,GUABIROTUBA,32,36.0,45.0,35.0,60.0
1,2017,GUAIRA,56,66.0,50.0,67.0,68.0
1,2017,HAUER,140,154.0,182.0,134.0,175.0
1,2017,HUGO LANGE,27,27.0,32.0,23.0,40.0
1,2017,JARDIM BOTANICO,129,139.0,119.0,130.0,158.0
1,2017,JARDIM DAS AMERICAS,63,82.0,81.0,90.0,79.0
1,2017,JARDIM SOCIAL,19,30.0,30.0,28.0,38.0
1,2017,JUVEVE,51,60.0,70.0,46.0,50.0
1,2017,LINDOIA,16,25.0,28.0,23.0,32.0
1,2017,MERCES,108,112.0,131.0,103.0,118.0
1,2017,MOSSUNGUE,47,50.0,62.0,50.0,41.0
1,2017,NOVO MUNDO,175,167.0,169.0,146.0,175.0
1,2017,ORLEANS,31,35.0,37.0,27.0,37.0
1,2017,PAROLIN,60,82.0,82.0,66.0,78.0
1,2017,PILARZINHO,61,68.0,77.0,68.0,75.0
1,2017,PINHEIRINHO,282,255.0,354.0,274.0,304.0
1,2017,PORTAO,269,308.0,311.0,281.0,270.0
1,2017,PRADO VELHO,41,44.0,66.0,67.0,63.0
