descBairro,month_year,qtde_boletins,horaFato,tipo
ABRANCHES,2016-01,3,40,Estelionato
CABRAL,2016-01,3,38,Estelionato
GUABIROTUBA,2016-01,1,21,Tráfico de drogas
HAUER,2016-01,2,35,Tráfico de drogas
JARDIM BOTANICO,2016-01,2,31,Tráfico de drogas
JARDIM SOCIAL,2016-01,1,23,Tráfico de drogas
MERCES,2016-01,2,35,Tráfico de drogas
NOVO MUNDO,2016-01,2,18,Tráfico de drogas
ORLEANS,2016-01,2,4,Tráfico de drogas
PAROLIN,2016-01,1,13,Tráfico de drogas
PILARZINHO,2016-01,2,20,Tráfico de drogas
PINHEIRINHO,2016-01,10,116,Tráfico de drogas
GANCHINHO,2016-01,3,42,Tráfico de drogas
BOQUEIRAO,2016-01,16,168,Estelionato
PRADO VELHO,2016-01,5,60,Tráfico de drogas
REBOUCAS,2016-01,1,16,Tráfico de drogas
SANTA CANDIDA,2016-01,1,20,Tráfico de drogas
SANTA FELICIDADE,2016-01,1,17,Tráfico de drogas
SANTA QUITERIA,2016-01,3,52,Tráfico de drogas
BOM RETIRO,2016-01,5,57,Estelionato
SAO BRAZ,2016-01,2,18,Tráfico de drogas
SAO FRANCISCO,2016-01,4,61,Tráfico de drogas
SITIO CERCADO,2016-01,35,522,Tráfico de drogas
TATUQUARA,2016-01,16,210,Tráfico de drogas
TINGUI,2016-01,1,18,Tráfico de drogas
PORTAO,2016-01,7,98,Tráfico de drogas
FAZENDINHA,2016-01,1,18,Tráfico de drogas
CIDADE INDUSTRIAL,2016-01,6,97,Tráfico de drogas
CIC,2016-01,21,287,Tráfico de drogas
UMBARA,2016-01,48,511,Furto/Roubo
VILA IZABEL,2016-01,35,515,Furto/Roubo
VISTA ALEGRE,2016-01,15,197,Furto/Roubo
XAXIM,2016-01,153,2209,Furto/Roubo
AGUA VERDE,2016-01,3,38,Tráfico de drogas
CAMPO COMPRIDO,2016-01,3,29,Estelionato
AHU,2016-01,1,13,Tráfico de drogas
ALTO BOQUEIRAO,2016-01,2,41,Tráfico de drogas
ALTO DA RUA XV,2016-01,2,5,Tráfico de drogas
ATUBA,2016-01,2,25,Tráfico de drogas
BACACHERI,2016-01,6,87,Tráfico de drogas
BAIRRO ALTO,2016-01,9,130,Tráfico de drogas
BATEL,2016-01,4,75,Tráfico de drogas
BIGORRILHO,2016-01,1,23,Tráfico de drogas
BOA VISTA,2016-01,2,14,Tráfico de drogas
BOQUEIRAO,2016-01,4,59,Tráfico de drogas
CAJURU,2016-01,14,208,Tráfico de drogas
CAJURU,2016-01,17,141,Estelionato
CAMPINA DO SIQUEIRA,2016-01,1,13,Tráfico de drogas
CAMPO COMPRIDO,2016-01,2,40,Tráfico de drogas
CAMPO DE SANTANA,2016-01,6,87,Tráfico de drogas
CAPAO DA IMBUIA,2016-01,3,54,Tráfico de drogas
CAPAO RASO,2016-01,2,31,Tráfico de drogas
CENTRO,2016-01,28,419,Tráfico de drogas
CENTRO CIVICO,2016-01,1,21,Tráfico de drogas
BOA VISTA,2016-01,10,67,Estelionato
UBERABA,2016-01,8,135,Tráfico de drogas
UMBARA,2016-01,3,48,Tráfico de drogas
XAXIM,2016-01,8,50,Tráfico de drogas
CENTRO,2016-01,51,687,Violência Doméstica
CENTRO CIVICO,2016-01,3,46,Violência Doméstica
BACACHERI,2016-01,6,55,Estelionato
CIC,2016-01,112,1747,Violência Doméstica
CIDADE INDUSTRIAL,2016-01,35,466,Violência Doméstica
CRISTO REI,2016-01,2,33,Violência Doméstica
FANNY,2016-01,7,99,Violência Doméstica
FAZENDINHA,2016-01,19,310,Violência Doméstica
GANCHINHO,2016-01,6,73,Violência Doméstica
GUABIROTUBA,2016-01,11,126,Violência Doméstica
GUAIRA,2016-01,7,73,Violência Doméstica
ATUBA,2016-01,1,14,Estelionato
HAUER,2016-01,5,73,Violência Doméstica
HUGO LANGE,2016-01,4,40,Violência Doméstica
JARDIM BOTANICO,2016-01,5,78,Violência Doméstica
JARDIM DAS AMERICAS,2016-01,9,120,Violência Doméstica
JARDIM SOCIAL,2016-01,5,67,Violência Doméstica
JUVEVE,2016-01,2,29,Violência Doméstica
LINDOIA,2016-01,1,0,Violência Doméstica
ALTO DA RUA XV,2016-01,6,73,Estelionato
MERCES,2016-01,4,92,Violência Doméstica
MOSSUNGUE,2016-01,1,11,Violência Doméstica
NOVO MUNDO,2016-01,33,415,Violência Doméstica
ORLEANS,2016-01,3,21,Violência Doméstica
PAROLIN,2016-01,9,150,Violência Doméstica
CAXIMBA,2016-01,2,27,Violência Doméstica
UBERABA,2016-01,147,1753,Furto/Roubo
CAPAO RASO,2016-01,25,227,Violência Doméstica
CAMPO DE SANTANA,2016-01,24,466,Violência Doméstica
ABRANCHES,2016-01,8,148,Violência Doméstica
AGUA VERDE,2016-01,25,399,Violência Doméstica
AHU,2016-01,2,20,Violência Doméstica
ALTO BOQUEIRAO,2016-01,29,431,Violência Doméstica
BIGORRILHO,2016-01,9,109,Estelionato
ALTO DA GLORIA,2016-01,1,2,Violência Doméstica
ALTO DA RUA XV,2016-01,4,36,Violência Doméstica
ATUBA,2016-01,2,37,Violência Doméstica
BACACHERI,2016-01,12,167,Violência Doméstica
BAIRRO ALTO,2016-01,33,541,Violência Doméstica
BATEL,2016-01,16,168,Estelionato
BARREIRINHA,2016-01,12,188,Violência Doméstica
BATEL,2016-01,13,186,Violência Doméstica
BIGORRILHO,2016-01,10,141,Violência Doméstica
BOA VISTA,2016-01,24,318,Violência Doméstica
BOM RETIRO,2016-01,4,31,Violência Doméstica
BOQUEIRAO,2016-01,31,394,Violência Doméstica
BARREIRINHA,2016-01,8,92,Estelionato
BUTIATUVINHA,2016-01,1,0,Violência Doméstica
CABRAL,2016-01,10,132,Violência Doméstica
CACHOEIRA,2016-01,11,211,Violência Doméstica
CAJURU,2016-01,100,1382,Violência Doméstica
CAMPINA DO SIQUEIRA,2016-01,4,58,Violência Doméstica
CAMPO COMPRIDO,2016-01,25,359,Violência Doméstica
BAIRRO ALTO,2016-01,7,77,Estelionato
CAPAO DA IMBUIA,2016-01,11,158,Violência Doméstica
PILARZINHO,2016-01,25,241,Violência Doméstica
CAMPO DE SANTANA,2016-01,3,20,Estelionato
TATUQUARA,2016-01,104,1487,Furto/Roubo
ABRANCHES,2016-01,24,371,Furto/Roubo
AGUA VERDE,2016-01,209,2456,Furto/Roubo
AHU,2016-01,42,548,Furto/Roubo
ALTO BOQUEIRAO,2016-01,85,1092,Furto/Roubo
ALTO DA GLORIA,2016-01,37,485,Furto/Roubo
GUAIRA,2016-01,4,43,Estelionato
ALTO DA RUA XV,2016-01,72,911,Furto/Roubo
ALTO DA XV,2016-01,10,144,Furto/Roubo
ATUBA,2016-01,26,297,Furto/Roubo
AUGUSTA,2016-01,3,38,Furto/Roubo
BACACHERI,2016-01,108,1345,Furto/Roubo
HAUER,2016-01,4,50,Estelionato
BAIRRO ALTO,2016-01,74,1039,Furto/Roubo
BAIRRO NOVO,2016-01,11,142,Furto/Roubo
BARREIRINHA,2016-01,52,688,Furto/Roubo
BATEL,2016-01,117,1255,Furto/Roubo
BIGORRILHO,2016-01,87,1163,Furto/Roubo
BOA VISTA,2016-01,80,1195,Furto/Roubo
BOM RETIRO,2016-01,26,323,Furto/Roubo
BOQUEIRAO,2016-01,203,2814,Furto/Roubo
BUTIATUVINHA,2016-01,10,132,Furto/Roubo
CABRAL,2016-01,44,680,Furto/Roubo
CACHOEIRA,2016-01,7,60,Furto/Roubo
CAJURU,2016-01,202,2693,Furto/Roubo
GUABIROTUBA,2016-01,4,22,Estelionato
XAXIM,2016-01,13,155,Estelionato
VISTA ALEGRE,2016-01,1,12,Estelionato
VILA IZABEL,2016-01,3,41,Estelionato
MERCES,2016-01,10,122,Estelionato
MOSSUNGUE,2016-01,2,27,Estelionato
NOVO MUNDO,2016-01,11,125,Estelionato
PAROLIN,2016-01,3,39,Estelionato
JARDIM SOCIAL,2016-01,4,36,Estelionato
PILARZINHO,2016-01,10,107,Estelionato
PINHEIRINHO,2016-01,21,245,Estelionato
PORTAO,2016-01,18,233,Estelionato
REBOUCAS,2016-01,4,34,Estelionato
SANTA CANDIDA,2016-01,3,50,Estelionato
JARDIM DAS AMERICAS,2016-01,4,54,Estelionato
SANTA FELICIDADE,2016-01,13,165,Estelionato
SANTA QUITERIA,2016-01,6,57,Estelionato
SANTO INACIO,2016-01,3,28,Estelionato
SAO BRAZ,2016-01,12,139,Estelionato
SAO FRANCISCO,2016-01,3,37,Estelionato
JARDIM BOTANICO,2016-01,1,16,Estelionato
SAO JOAO,2016-01,2,19,Estelionato
SEMINARIO,2016-01,3,9,Estelionato
SITIO CERCADO,2016-01,26,306,Estelionato
TARUMA,2016-01,5,59,Estelionato
TATUQUARA,2016-01,12,143,Estelionato
HUGO LANGE,2016-01,2,20,Estelionato
UBERABA,2016-01,18,203,Estelionato
UMBARA,2016-01,4,49,Estelionato
FAZENDINHA,2016-01,7,84,Estelionato
CAMPINA DO SIQUEIRA,2016-01,41,568,Furto/Roubo
CAMPO COMPRIDO,2016-01,50,748,Furto/Roubo
CAMPO DE SANTANA,2016-01,34,433,Furto/Roubo
NAO DEFINIDO,2016-01,37,450,Furto/Roubo
CENTRO,2016-01,84,774,Estelionato
NOVO MUNDO,2016-01,96,1245,Furto/Roubo
ORLEANS,2016-01,14,182,Furto/Roubo
PAROLIN,2016-01,63,786,Furto/Roubo
PILARZINHO,2016-01,49,652,Furto/Roubo
PINHEIRINHO,2016-01,166,2092,Furto/Roubo
PORTAO,2016-01,219,3072,Furto/Roubo
CASCATINHA,2016-01,2,26,Estelionato
PRADO VELHO,2016-01,31,294,Furto/Roubo
REBOUCAS,2016-01,136,1764,Furto/Roubo
SANTA CANDIDA,2016-01,62,731,Furto/Roubo
SANTA FELICIDADE,2016-01,72,887,Furto/Roubo
SANTA QUITERIA,2016-01,37,489,Furto/Roubo
CAPAO RASO,2016-01,9,129,Estelionato
SANTO INACIO,2016-01,7,90,Furto/Roubo
SAO BRAZ,2016-01,41,567,Furto/Roubo
SAO FRANCISCO,2016-01,100,1185,Furto/Roubo
SAO JOAO,2016-01,1,17,Furto/Roubo
SAO LOURENCO,2016-01,32,410,Furto/Roubo
SEMINARIO,2016-01,34,468,Furto/Roubo
CAPAO DA IMBUIA,2016-01,5,54,Estelionato
SITIO CERCADO,2016-01,254,3346,Furto/Roubo
TABOAO,2016-01,1,10,Furto/Roubo
TARUMA,2016-01,47,521,Furto/Roubo
MOSSUNGUE,2016-01,34,459,Furto/Roubo
TINGUI,2016-01,22,270,Furto/Roubo
MERCES,2016-01,91,1064,Furto/Roubo
JUVEVE,2016-01,43,564,Furto/Roubo
CAMPO DO SANTANA,2016-01,3,32,Furto/Roubo
CAPAO DA IMBUIA,2016-01,54,720,Furto/Roubo
CAPAO RASO,2016-01,91,1241,Furto/Roubo
FANNY,2016-01,1,17,Estelionato
CASCATINHA,2016-01,4,69,Furto/Roubo
CAXIMBA,2016-01,3,33,Furto/Roubo
CENTRO,2016-01,986,11586,Furto/Roubo
CENTRO CIVICO,2016-01,61,800,Furto/Roubo
CIC,2016-01,173,2099,Furto/Roubo
CIDADE INDUSTRIAL,2016-01,140,1707,Furto/Roubo
CRISTO REI,2016-01,5,47,Estelionato
CRISTO REI,2016-01,56,634,Furto/Roubo
FANNY,2016-01,34,357,Furto/Roubo
FAZENDINHA,2016-01,49,583,Furto/Roubo
GANCHINHO,2016-01,21,233,Furto/Roubo
GUABIROTUBA,2016-01,27,352,Furto/Roubo
CIDADE INDUSTRIAL,2016-01,7,79,Estelionato
CIC,2016-01,22,229,Estelionato
GUAIRA,2016-01,47,613,Furto/Roubo
HAUER,2016-01,146,2007,Furto/Roubo
HUGO LANGE,2016-01,20,288,Furto/Roubo
JARDIM BOTANICO,2016-01,144,1513,Furto/Roubo
JARDIM DAS AMERICAS,2016-01,62,948,Furto/Roubo
JARDIM SOCIAL,2016-01,28,345,Furto/Roubo
CENTRO CIVICO,2016-01,8,94,Estelionato
LINDOIA,2016-01,25,397,Furto/Roubo
ALTO DA GLORIA,2016-01,2,23,Estelionato
JUVEVE,2016-01,3,46,Estelionato
SANTA FELICIDADE,2016-01,20,363,Violência Doméstica
AHU,2016-01,6,82,Estelionato
REBOUCAS,2016-01,11,147,Violência Doméstica
VISTA ALEGRE,2016-01,8,94,Violência Doméstica
PRADO VELHO,2016-01,1,13,Violência Doméstica
TARUMA,2016-01,1,0,Violência Doméstica
TABOAO,2016-01,1,1,Violência Doméstica
PORTAO,2016-01,28,376,Violência Doméstica
SANTO INACIO,2016-01,4,63,Violência Doméstica
SEMINARIO,2016-01,1,12,Violência Doméstica
AGUA VERDE,2016-01,19,229,Estelionato
SAO FRANCISCO,2016-01,4,70,Violência Doméstica
XAXIM,2016-01,27,384,Violência Doméstica
UBERABA,2016-01,67,879,Violência Doméstica
TINGUI,2016-01,8,151,Violência Doméstica
SANTA QUITERIA,2016-01,10,186,Violência Doméstica
SAO BRAZ,2016-01,16,216,Violência Doméstica
SAO LOURENCO,2016-01,6,89,Violência Doméstica
SAO JOAO,2016-01,1,18,Violência Doméstica
ALTO BOQUEIRAO,2016-01,6,62,Estelionato
UMBARA,2016-01,19,313,Violência Doméstica
SITIO CERCADO,2016-01,92,1263,Violência Doméstica
VILA IZABEL,2016-01,9,109,Violência Doméstica
PINHEIRINHO,2016-01,44,677,Violência Doméstica
SANTA CANDIDA,2016-01,35,420,Violência Doméstica
TATUQUARA,2016-01,58,897,Violência Doméstica
CAPAO DA IMBUIA,2016-02,12,195,Violência Doméstica
JARDIM DAS AMERICAS,2016-02,3,30,Estelionato
PAROLIN,2016-02,60,733,Furto/Roubo
GANCHINHO,2016-02,5,68,Tráfico de drogas
CAJURU,2016-02,76,970,Violência Doméstica
CABRAL,2016-02,3,42,Estelionato
GUABIROTUBA,2016-02,1,1,Tráfico de drogas
ORLEANS,2016-02,5,26,Tráfico de drogas
CAMPO DE SANTANA,2016-02,16,259,Violência Doméstica
GUAIRA,2016-02,3,52,Tráfico de drogas
CAPAO RASO,2016-02,106,1474,Furto/Roubo
HUGO LANGE,2016-02,23,272,Furto/Roubo
AHU,2016-02,33,497,Furto/Roubo
ORLEANS,2016-02,13,151,Furto/Roubo
BUTIATUVINHA,2016-02,2,24,Estelionato
CAMPO COMPRIDO,2016-02,21,282,Violência Doméstica
ALTO BOQUEIRAO,2016-02,81,1104,Furto/Roubo
JARDIM SOCIAL,2016-02,1,9,Tráfico de drogas
SAO BRAZ,2016-02,24,284,Violência Doméstica
CAMPINA DO SIQUEIRA,2016-02,2,27,Violência Doméstica
HAUER,2016-02,1,22,Tráfico de drogas
GUAIRA,2016-02,3,30,Estelionato
JARDIM BOTANICO,2016-02,2,34,Tráfico de drogas
JARDIM BOTANICO,2016-02,132,1694,Furto/Roubo
ALTO DA GLORIA,2016-02,41,530,Furto/Roubo
NOVO MUNDO,2016-02,2,17,Tráfico de drogas
BAIRRO ALTO,2016-02,11,108,Estelionato
SANTA QUITERIA,2016-02,6,64,Estelionato
JARDIM DAS AMERICAS,2016-02,1,19,Tráfico de drogas
SANTA FELICIDADE,2016-02,7,86,Estelionato
CAMPINA DO SIQUEIRA,2016-02,37,495,Furto/Roubo
FAZENDINHA,2016-02,5,53,Tráfico de drogas
ATUBA,2016-02,27,328,Furto/Roubo
CAPAO RASO,2016-02,6,73,Tráfico de drogas
BACACHERI,2016-02,12,133,Estelionato
CENTRO CIVICO,2016-02,8,101,Violência Doméstica
CAPAO DA IMBUIA,2016-02,3,43,Tráfico de drogas
CAMPO DE SANTANA,2016-02,1,0,Tráfico de drogas
PRADO VELHO,2016-02,1,10,Estelionato
AUGUSTA,2016-02,1,5,Furto/Roubo
CIC,2016-02,101,1455,Violência Doméstica
CAPAO DA IMBUIA,2016-02,74,983,Furto/Roubo
PORTAO,2016-02,272,3646,Furto/Roubo
CIDADE INDUSTRIAL,2016-02,39,482,Violência Doméstica
CAMPINA DO SIQUEIRA,2016-02,1,21,Tráfico de drogas
GUAIRA,2016-02,42,457,Furto/Roubo
UMBARA,2016-02,18,315,Violência Doméstica
BACACHERI,2016-02,71,973,Furto/Roubo
CAJURU,2016-02,19,224,Estelionato
REBOUCAS,2016-02,7,94,Estelionato
TABOAO,2016-02,2,18,Violência Doméstica
PINHEIRINHO,2016-02,173,2400,Furto/Roubo
CENTRO,2016-02,45,618,Tráfico de drogas
CAPAO RASO,2016-02,15,177,Violência Doméstica
PILARZINHO,2016-02,58,802,Furto/Roubo
ALTO DA RUA XV,2016-02,61,796,Furto/Roubo
CIDADE INDUSTRIAL,2016-02,126,1656,Furto/Roubo
FANNY,2016-02,1,11,Tráfico de drogas
AGUA VERDE,2016-02,215,2673,Furto/Roubo
SANTA CANDIDA,2016-02,6,92,Estelionato
CIDADE INDUSTRIAL,2016-02,8,114,Tráfico de drogas
CIC,2016-02,13,197,Tráfico de drogas
HAUER,2016-02,116,1401,Furto/Roubo
CAXIMBA,2016-02,1,14,Violência Doméstica
CENTRO CIVICO,2016-02,2,32,Tráfico de drogas
SAO FRANCISCO,2016-02,2,35,Violência Doméstica
ALTO DA XV,2016-02,10,152,Furto/Roubo
REBOUCAS,2016-02,3,48,Violência Doméstica
CENTRO,2016-02,50,695,Violência Doméstica
ALTO BOQUEIRAO,2016-02,6,66,Estelionato
CACHOEIRA,2016-02,1,10,Estelionato
VILA IZABEL,2016-02,4,61,Violência Doméstica
PINHEIRINHO,2016-02,1,21,Tráfico de drogas
PILARZINHO,2016-02,1,18,Tráfico de drogas
UMBARA,2016-02,1,22,Tráfico de drogas
TATUQUARA,2016-02,10,117,Estelionato
UBERABA,2016-02,3,47,Tráfico de drogas
BOA VISTA,2016-02,9,92,Estelionato
BAIRRO ALTO,2016-02,46,588,Violência Doméstica
TINGUI,2016-02,4,63,Estelionato
SEMINARIO,2016-02,5,51,Estelionato
MERCES,2016-02,71,960,Furto/Roubo
CENTRO CIVICO,2016-02,68,1061,Furto/Roubo
BATEL,2016-02,11,129,Estelionato
TATUQUARA,2016-02,9,125,Tráfico de drogas
SANTA QUITERIA,2016-02,18,278,Violência Doméstica
UBERABA,2016-02,11,134,Estelionato
SANTA FELICIDADE,2016-02,27,355,Violência Doméstica
BARREIRINHA,2016-02,9,139,Violência Doméstica
SITIO CERCADO,2016-02,26,350,Tráfico de drogas
SAO LOURENCO,2016-02,1,20,Estelionato
HUGO LANGE,2016-02,2,25,Estelionato
UMBARA,2016-02,4,43,Estelionato
BACACHERI,2016-02,9,134,Violência Doméstica
XAXIM,2016-02,2,26,Tráfico de drogas
BIGORRILHO,2016-02,12,137,Estelionato
ALTO DA GLORIA,2016-02,9,118,Violência Doméstica
TABOAO,2016-02,1,11,Estelionato
ALTO BOQUEIRAO,2016-02,22,324,Violência Doméstica
ALTO DA RUA XV,2016-02,2,18,Violência Doméstica
LAMENHA PEQUENA,2016-02,1,2,Furto/Roubo
AHU,2016-02,2,32,Violência Doméstica
JUVEVE,2016-02,60,816,Furto/Roubo
VISTA ALEGRE,2016-02,3,36,Violência Doméstica
ATUBA,2016-02,11,141,Violência Doméstica
AGUA VERDE,2016-02,17,235,Violência Doméstica
CENTRO,2016-02,1135,12686,Furto/Roubo
TARUMA,2016-02,1,0,Violência Doméstica
LINDOIA,2016-02,18,184,Furto/Roubo
SITIO CERCADO,2016-02,20,231,Estelionato
ABRANCHES,2016-02,11,207,Violência Doméstica
AUGUSTA,2016-02,4,46,Violência Doméstica
CENTRO CIVICO,2016-02,4,41,Estelionato
BATEL,2016-02,5,58,Violência Doméstica
SAO JOAO,2016-02,4,62,Tráfico de drogas
CAXIMBA,2016-02,4,61,Furto/Roubo
BARREIRINHA,2016-02,6,86,Estelionato
JARDIM DAS AMERICAS,2016-02,72,1059,Furto/Roubo
PORTAO,2016-02,3,42,Tráfico de drogas
SAO BRAZ,2016-02,2,26,Estelionato
XAXIM,2016-02,34,562,Violência Doméstica
BUTIATUVINHA,2016-02,6,60,Violência Doméstica
BOQUEIRAO,2016-02,18,218,Estelionato
CENTRO,2016-02,98,863,Estelionato
TINGUI,2016-02,5,79,Violência Doméstica
CIC,2016-02,192,2569,Furto/Roubo
FANNY,2016-02,2,28,Estelionato
CABRAL,2016-02,11,126,Violência Doméstica
CRISTO REI,2016-02,4,24,Violência Doméstica
ABRANCHES,2016-02,41,659,Furto/Roubo
NOVO MUNDO,2016-02,129,1662,Furto/Roubo
SANTA CANDIDA,2016-02,32,485,Violência Doméstica
CACHOEIRA,2016-02,4,77,Violência Doméstica
XAXIM,2016-02,11,116,Estelionato
HAUER,2016-02,11,133,Estelionato
SANTO INACIO,2016-02,7,86,Violência Doméstica
PRADO VELHO,2016-02,4,59,Tráfico de drogas
SAO FRANCISCO,2016-02,5,103,Tráfico de drogas
JARDIM BOTANICO,2016-02,3,34,Estelionato
MOSSUNGUE,2016-02,47,720,Furto/Roubo
BIGORRILHO,2016-02,4,46,Violência Doméstica
SAO BRAZ,2016-02,17,163,Tráfico de drogas
JARDIM SOCIAL,2016-02,26,293,Furto/Roubo
VILA IZABEL,2016-02,4,45,Estelionato
BOA VISTA,2016-02,30,312,Violência Doméstica
PAROLIN,2016-02,4,49,Tráfico de drogas
SANTO INACIO,2016-02,6,54,Tráfico de drogas
VISTA ALEGRE,2016-02,2,28,Estelionato
SAO FRANCISCO,2016-02,2,26,Estelionato
BOM RETIRO,2016-02,9,164,Violência Doméstica
SANTA FELICIDADE,2016-02,23,271,Tráfico de drogas
CASCATINHA,2016-02,5,68,Furto/Roubo
SANTA CANDIDA,2016-02,2,29,Tráfico de drogas
BOQUEIRAO,2016-02,34,495,Violência Doméstica
REBOUCAS,2016-02,1,20,Tráfico de drogas
NAO DEFINIDO,2016-02,39,510,Furto/Roubo
PORTAO,2016-02,19,169,Estelionato
TARUMA,2016-02,3,27,Estelionato
MERCES,2016-02,3,32,Violência Doméstica
BUTIATUVINHA,2016-02,9,118,Furto/Roubo
SEMINARIO,2016-02,2,35,Violência Doméstica
CAPAO DA IMBUIA,2016-02,3,39,Estelionato
HAUER,2016-02,13,208,Violência Doméstica
TINGUI,2016-02,20,278,Furto/Roubo
ORLEANS,2016-02,6,36,Violência Doméstica
AHU,2016-02,7,58,Estelionato
ALTO DA RUA XV,2016-02,2,21,Tráfico de drogas
JARDIM SOCIAL,2016-02,4,43,Estelionato
ATUBA,2016-02,3,32,Estelionato
SEMINARIO,2016-02,29,313,Furto/Roubo
ALTO DA GLORIA,2016-02,1,20,Tráfico de drogas
BATEL,2016-02,104,1241,Furto/Roubo
SAO LOURENCO,2016-02,3,46,Violência Doméstica
ATUBA,2016-02,1,17,Tráfico de drogas
TATUQUARA,2016-02,122,1536,Furto/Roubo
BOM RETIRO,2016-02,32,520,Furto/Roubo
SAO MIGUEL,2016-02,1,10,Furto/Roubo
PAROLIN,2016-02,5,55,Estelionato
REBOUCAS,2016-02,117,1458,Furto/Roubo
CRISTO REI,2016-02,2,32,Estelionato
CAJURU,2016-02,223,2982,Furto/Roubo
BACACHERI,2016-02,1,14,Tráfico de drogas
SANTA QUITERIA,2016-02,51,789,Furto/Roubo
JUVEVE,2016-02,6,37,Violência Doméstica
CRISTO REI,2016-02,71,1009,Furto/Roubo
ABRANCHES,2016-02,3,49,Estelionato
ALTO BOQUEIRAO,2016-02,3,43,Tráfico de drogas
GUABIROTUBA,2016-02,45,666,Furto/Roubo
MOSSUNGUE,2016-02,1,8,Violência Doméstica
JARDIM DAS AMERICAS,2016-02,5,33,Violência Doméstica
XAXIM,2016-02,128,1878,Furto/Roubo
TARUMA,2016-02,43,559,Furto/Roubo
CABRAL,2016-02,51,647,Furto/Roubo
ORLEANS,2016-02,1,10,Estelionato
GANCHINHO,2016-02,2,21,Estelionato
BOA VISTA,2016-02,101,1427,Furto/Roubo
SANTA CANDIDA,2016-02,72,866,Furto/Roubo
AGUA VERDE,2016-02,1,13,Tráfico de drogas
TABOAO,2016-02,4,30,Furto/Roubo
JARDIM BOTANICO,2016-02,4,70,Violência Doméstica
AGUA VERDE,2016-02,11,117,Estelionato
MERCES,2016-02,4,62,Estelionato
NOVO MUNDO,2016-02,28,396,Violência Doméstica
PORTAO,2016-02,21,289,Violência Doméstica
CAMPO COMPRIDO,2016-02,8,84,Estelionato
CAMPO DE SANTANA,2016-02,25,334,Furto/Roubo
SITIO CERCADO,2016-02,235,3109,Furto/Roubo
HUGO LANGE,2016-02,5,41,Violência Doméstica
CACHOEIRA,2016-02,8,98,Furto/Roubo
AHU,2016-02,1,22,Tráfico de drogas
BIGORRILHO,2016-02,81,955,Furto/Roubo
VILA IZABEL,2016-02,32,372,Furto/Roubo
GUAIRA,2016-02,18,250,Violência Doméstica
JUVEVE,2016-02,2,29,Estelionato
VISTA ALEGRE,2016-02,18,259,Furto/Roubo
BAIRRO ALTO,2016-02,4,56,Tráfico de drogas
CAMPO DO SANTANA,2016-02,1,5,Furto/Roubo
UBERABA,2016-02,142,2046,Furto/Roubo
PAROLIN,2016-02,12,248,Violência Doméstica
MOSSUNGUE,2016-02,4,59,Estelionato
CAMPO COMPRIDO,2016-02,61,842,Furto/Roubo
FAZENDINHA,2016-02,10,112,Estelionato
FAZENDINHA,2016-02,29,394,Violência Doméstica
CAMPO DE SANTANA,2016-02,1,13,Estelionato
SAO JOAO,2016-02,1,20,Violência Doméstica
ALTO DA GLORIA,2016-02,2,20,Estelionato
GANCHINHO,2016-02,15,211,Furto/Roubo
SANTO INACIO,2016-02,19,212,Furto/Roubo
PINHEIRINHO,2016-02,14,187,Estelionato
SAO FRANCISCO,2016-02,88,964,Furto/Roubo
UBERABA,2016-02,50,821,Violência Doméstica
BAIRRO ALTO,2016-02,99,1394,Furto/Roubo
BUTIATUVINHA,2016-02,8,89,Tráfico de drogas
BOQUEIRAO,2016-02,259,3670,Furto/Roubo
FANNY,2016-02,5,89,Violência Doméstica
ALTO DA RUA XV,2016-02,9,113,Estelionato
SAO BRAZ,2016-02,43,606,Furto/Roubo
CAJURU,2016-02,7,114,Tráfico de drogas
CIC,2016-02,22,242,Estelionato
TATUQUARA,2016-02,29,348,Violência Doméstica
BOQUEIRAO,2016-02,6,103,Tráfico de drogas
LINDOIA,2016-02,5,67,Violência Doméstica
BOA VISTA,2016-02,2,19,Tráfico de drogas
PILARZINHO,2016-02,23,305,Violência Doméstica
BARREIRINHA,2016-02,48,612,Furto/Roubo
SAO LOURENCO,2016-02,27,339,Furto/Roubo
BAIRRO NOVO,2016-02,9,110,Furto/Roubo
GUABIROTUBA,2016-02,1,5,Violência Doméstica
UMBARA,2016-02,45,641,Furto/Roubo
FAZENDINHA,2016-02,72,965,Furto/Roubo
BATEL,2016-02,1,22,Tráfico de drogas
PILARZINHO,2016-02,3,37,Estelionato
LINDOIA,2016-02,1,12,Estelionato
NOVO MUNDO,2016-02,11,150,Estelionato
CIDADE INDUSTRIAL,2016-02,6,63,Estelionato
SITIO CERCADO,2016-02,80,1158,Violência Doméstica
PRADO VELHO,2016-02,37,539,Furto/Roubo
GUABIROTUBA,2016-02,2,39,Estelionato
FANNY,2016-02,44,548,Furto/Roubo
GANCHINHO,2016-02,3,53,Violência Doméstica
PINHEIRINHO,2016-02,35,395,Violência Doméstica
BIGORRILHO,2016-02,1,22,Tráfico de drogas
CAPAO RASO,2016-02,13,145,Estelionato
SANTA FELICIDADE,2016-02,91,1323,Furto/Roubo
SAO FRANCISCO,2016-03,5,73,Tráfico de drogas
TATUQUARA,2016-03,134,1720,Furto/Roubo
UMBARA,2016-03,5,92,Estelionato
CAMPO COMPRIDO,2016-03,79,1074,Furto/Roubo
BOM RETIRO,2016-03,2,23,Estelionato
SANTA QUITERIA,2016-03,2,24,Tráfico de drogas
