semana,boletins
2020-01-26 00:00:00,237
2020-02-02 00:00:00,267
2020-02-09 00:00:00,253
2020-02-16 00:00:00,221
2020-02-23 00:00:00,122
2020-03-01 00:00:00,201
2020-03-08 00:00:00,213
2020-03-15 00:00:00,113
2020-03-22 00:00:00,80
2020-03-29 00:00:00,110
2020-04-05 00:00:00,89
2020-04-12 00:00:00,143
2020-04-19 00:00:00,122
2020-04-26 00:00:00,139
2020-05-03 00:00:00,191
2020-05-10 00:00:00,172
2020-05-17 00:00:00,175
2020-05-24 00:00:00,223
2020-05-31 00:00:00,373
2020-06-07 00:00:00,347
2020-06-14 00:00:00,409
2020-06-21 00:00:00,377
2020-06-28 00:00:00,364
2020-07-05 00:00:00,429
2020-07-12 00:00:00,453
2020-07-19 00:00:00,451
2020-07-26 00:00:00,404
2020-08-02 00:00:00,430
2020-08-09 00:00:00,360
2020-08-16 00:00:00,366
2020-08-23 00:00:00,438
2020-08-30 00:00:00,519
2020-09-06 00:00:00,382
2020-09-13 00:00:00,532
2020-09-20 00:00:00,459
2020-09-27 00:00:00,447
2020-10-04 00:00:00,493
2020-10-11 00:00:00,497
2020-10-18 00:00:00,532
2020-10-25 00:00:00,497
2020-11-01 00:00:00,473
2020-11-08 00:00:00,558
2020-11-15 00:00:00,462
2020-11-22 00:00:00,479
2020-11-29 00:00:00,498
2020-12-06 00:00:00,451
2020-12-13 00:00:00,483
2020-12-20 00:00:00,270
2020-12-27 00:00:00,195
