semana,boletins
2018-06-17 00:00:00,195
2018-06-24 00:00:00,160
2018-07-01 00:00:00,166
2018-07-08 00:00:00,155
2018-07-15 00:00:00,144
2018-07-22 00:00:00,159
2018-07-29 00:00:00,134
2018-08-05 00:00:00,181
2018-08-12 00:00:00,161
2018-08-19 00:00:00,166
2018-08-26 00:00:00,208
2018-09-02 00:00:00,168
2018-09-09 00:00:00,156
2018-09-16 00:00:00,170
2018-09-23 00:00:00,179
2018-09-30 00:00:00,163
2018-10-07 00:00:00,172
2018-10-14 00:00:00,164
2018-10-21 00:00:00,143
2018-10-28 00:00:00,195
2018-11-04 00:00:00,157
2018-11-11 00:00:00,182
2018-11-18 00:00:00,168
2018-11-25 00:00:00,180
2018-12-02 00:00:00,176
2018-12-09 00:00:00,190
2018-12-16 00:00:00,174
2018-12-23 00:00:00,164
2018-12-30 00:00:00,199
2019-01-06 00:00:00,201
2019-01-13 00:00:00,195
2019-01-20 00:00:00,188
2019-01-27 00:00:00,193
2019-02-03 00:00:00,172
2019-02-10 00:00:00,203
2019-02-17 00:00:00,188
2019-02-24 00:00:00,203
2019-03-03 00:00:00,228
2019-03-10 00:00:00,206
2019-03-17 00:00:00,173
2019-03-24 00:00:00,210
2019-03-31 00:00:00,212
2019-04-07 00:00:00,197
2019-04-14 00:00:00,184
2019-04-21 00:00:00,221
2019-04-28 00:00:00,219
2019-05-05 00:00:00,202
2019-05-12 00:00:00,172
2019-05-19 00:00:00,168
2019-05-26 00:00:00,186
2019-06-02 00:00:00,147
2019-06-09 00:00:00,191
2019-06-16 00:00:00,169
2019-06-23 00:00:00,196
2019-06-30 00:00:00,198
2019-07-07 00:00:00,188
2019-07-14 00:00:00,160
2019-07-21 00:00:00,185
2019-07-28 00:00:00,150
2019-08-04 00:00:00,211
2019-08-11 00:00:00,203
2019-08-18 00:00:00,171
2019-08-25 00:00:00,179
2019-09-01 00:00:00,187
2019-09-08 00:00:00,208
2019-09-15 00:00:00,170
2019-09-22 00:00:00,129
2019-09-29 00:00:00,222
2019-10-06 00:00:00,206
2019-10-13 00:00:00,196
2019-10-20 00:00:00,209
2019-10-27 00:00:00,210
2019-11-03 00:00:00,180
2019-11-10 00:00:00,190
2019-11-17 00:00:00,189
2019-11-24 00:00:00,183
2019-12-01 00:00:00,212
2019-12-08 00:00:00,183
2019-12-15 00:00:00,168
2019-12-22 00:00:00,214
2019-12-29 00:00:00,164
2020-01-05 00:00:00,200
2020-01-12 00:00:00,206
2020-01-19 00:00:00,203
2020-01-26 00:00:00,241
2020-02-02 00:00:00,202
