,OCORRENCIA_DATA_SEM_HORARIO,OCORRENCIAS_ATENDIDAS
147,2009-05-28,55
148,2009-05-29,49
149,2009-05-30,83
150,2009-05-31,80
151,2009-06-01,49
152,2009-06-02,47
153,2009-06-03,78
154,2009-06-04,49
155,2009-06-05,61
156,2009-06-06,92
157,2009-06-07,77
158,2009-06-08,47
159,2009-06-09,51
160,2009-06-10,34
161,2009-06-11,69
162,2009-06-12,59
163,2009-06-13,66
164,2009-06-14,88
165,2009-06-15,48
166,2009-06-16,52
167,2009-06-17,50
168,2009-06-18,47
169,2009-06-19,60
170,2009-06-20,85
171,2009-06-21,92
172,2009-06-22,44
173,2009-06-23,60
174,2009-06-24,28
175,2009-06-25,47
176,2009-06-26,46
177,2009-06-27,86
178,2009-06-28,70
179,2009-06-29,39
180,2009-06-30,43
181,2009-07-01,48
182,2009-07-02,45
183,2009-07-03,64
184,2009-07-04,80
185,2009-07-05,63
186,2009-07-06,44
187,2009-07-07,60
188,2009-07-08,44
189,2009-07-09,61
190,2009-07-10,45
191,2009-07-11,86
192,2009-07-12,107
193,2009-07-13,48
194,2009-07-14,54
195,2009-07-15,52
196,2009-07-16,52
197,2009-07-17,58
198,2009-07-18,116
199,2009-07-19,145
200,2009-07-20,58
201,2009-07-21,52
202,2009-07-22,49
