dia,boletins
2016-07-31 00:00:00,138
2016-08-01 00:00:00,275
2016-08-02 00:00:00,271
2016-08-03 00:00:00,305
2016-08-04 00:00:00,276
2016-08-05 00:00:00,273
2016-08-06 00:00:00,167
2016-08-07 00:00:00,145
2016-08-08 00:00:00,277
2016-08-09 00:00:00,263
2016-08-10 00:00:00,260
2016-08-11 00:00:00,239
2016-08-12 00:00:00,305
2016-08-13 00:00:00,193
2016-08-14 00:00:00,124
2016-08-15 00:00:00,266
2016-08-16 00:00:00,250
2016-08-17 00:00:00,259
2016-08-18 00:00:00,267
2016-08-19 00:00:00,261
2016-08-20 00:00:00,179
2016-08-21 00:00:00,137
2016-08-22 00:00:00,269
2016-08-23 00:00:00,249
2016-08-24 00:00:00,284
2016-08-25 00:00:00,280
2016-08-26 00:00:00,308
2016-08-27 00:00:00,176
2016-08-28 00:00:00,128
2016-08-29 00:00:00,270
2016-08-30 00:00:00,269
2016-08-31 00:00:00,296
2016-09-01 00:00:00,324
2016-09-02 00:00:00,301
2016-09-03 00:00:00,194
2016-09-04 00:00:00,132
2016-09-05 00:00:00,288
2016-09-06 00:00:00,268
2016-09-07 00:00:00,172
2016-09-08 00:00:00,169
2016-09-09 00:00:00,252
2016-09-10 00:00:00,199
2016-09-11 00:00:00,158
2016-09-12 00:00:00,286
2016-09-13 00:00:00,280
2016-09-14 00:00:00,301
2016-09-15 00:00:00,303
2016-09-16 00:00:00,248
2016-09-17 00:00:00,189
2016-09-18 00:00:00,139
2016-09-19 00:00:00,248
2016-09-20 00:00:00,276
2016-09-21 00:00:00,244
2016-09-22 00:00:00,276
2016-09-23 00:00:00,284
2016-09-24 00:00:00,215
2016-09-25 00:00:00,131
2016-09-26 00:00:00,263
2016-09-27 00:00:00,278
2016-09-28 00:00:00,286
2016-09-29 00:00:00,290
2016-09-30 00:00:00,283
2016-10-01 00:00:00,209
2016-10-02 00:00:00,136
2016-10-03 00:00:00,277
2016-10-04 00:00:00,310
2016-10-05 00:00:00,252
2016-10-06 00:00:00,278
2016-10-07 00:00:00,277
2016-10-08 00:00:00,164
2016-10-09 00:00:00,124
2016-10-10 00:00:00,297
2016-10-11 00:00:00,282
2016-10-12 00:00:00,146
2016-10-13 00:00:00,246
2016-10-14 00:00:00,251
2016-10-15 00:00:00,169
2016-10-16 00:00:00,89
2016-10-17 00:00:00,177
2016-10-18 00:00:00,231
2016-10-19 00:00:00,180
2016-10-20 00:00:00,208
2016-10-21 00:00:00,223
2016-10-22 00:00:00,164
2016-10-23 00:00:00,122
2016-10-24 00:00:00,187
2016-10-25 00:00:00,228
2016-10-26 00:00:00,205
2016-10-27 00:00:00,231
2016-10-28 00:00:00,234
2016-10-29 00:00:00,166
2016-10-30 00:00:00,126
2016-10-31 00:00:00,245
2016-11-01 00:00:00,291
2016-11-02 00:00:00,169
2016-11-03 00:00:00,274
2016-11-04 00:00:00,218
2016-11-05 00:00:00,390
2016-11-06 00:00:00,156
2016-11-07 00:00:00,310
2016-11-08 00:00:00,275
2016-11-09 00:00:00,259
2016-11-10 00:00:00,254
2016-11-11 00:00:00,252
2016-11-12 00:00:00,180
2016-11-13 00:00:00,133
2016-11-14 00:00:00,223
2016-11-15 00:00:00,168
2016-11-16 00:00:00,282
2016-11-17 00:00:00,254
2016-11-18 00:00:00,255
2016-11-19 00:00:00,183
2016-11-20 00:00:00,182
2016-11-21 00:00:00,275
2016-11-22 00:00:00,284
2016-11-23 00:00:00,288
2016-11-24 00:00:00,246
2016-11-25 00:00:00,268
2016-11-26 00:00:00,193
2016-11-27 00:00:00,139
2016-11-28 00:00:00,239
2016-11-29 00:00:00,311
2016-11-30 00:00:00,260
2016-12-01 00:00:00,237
2016-12-02 00:00:00,259
2016-12-03 00:00:00,168
2016-12-04 00:00:00,155
2016-12-05 00:00:00,257
2016-12-06 00:00:00,238
2016-12-07 00:00:00,248
2016-12-08 00:00:00,225
2016-12-09 00:00:00,233
2016-12-10 00:00:00,163
2016-12-11 00:00:00,136
2016-12-12 00:00:00,245
2016-12-13 00:00:00,268
2016-12-14 00:00:00,251
2016-12-15 00:00:00,239
2016-12-16 00:00:00,221
2016-12-17 00:00:00,163
2016-12-18 00:00:00,164
2016-12-19 00:00:00,249
2016-12-20 00:00:00,263
2016-12-21 00:00:00,237
2016-12-22 00:00:00,226
2016-12-23 00:00:00,229
2016-12-24 00:00:00,137
2016-12-25 00:00:00,86
2016-12-26 00:00:00,175
2016-12-27 00:00:00,218
2016-12-28 00:00:00,185
2016-12-29 00:00:00,210
2016-12-30 00:00:00,181
2016-12-31 00:00:00,129
2017-01-01 00:00:00,121
2017-01-02 00:00:00,184
2017-01-03 00:00:00,178
2017-01-04 00:00:00,198
2017-01-05 00:00:00,211
2017-01-06 00:00:00,219
2017-01-07 00:00:00,153
2017-01-08 00:00:00,114
2017-01-09 00:00:00,232
2017-01-10 00:00:00,256
2017-01-11 00:00:00,237
2017-01-12 00:00:00,206
2017-01-13 00:00:00,256
2017-01-14 00:00:00,145
2017-01-15 00:00:00,136
2017-01-16 00:00:00,243
